Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder,Round,Average_Neophobia,R2_Minus_R1
14,4166,M,0,90.24,754,1,1,4,4,1,5,1,863.5,-585.54
14,4166,M,0,30.59,59.62,1,1,1,7,1,5,2,277.96,-585.54
14,4166,M,0,31.61,32.35,1,1,2,8,1,6,2,277.96,-585.54
14,4166,M,0,900,900,0,0,3,9,1,2,2,277.96,-585.54
14,4166,M,0,117.39,119.87,1,1,4,10,1,3,2,277.96,-585.54
15,4129,M,1,511.67,900,1,0,1,1,1,1,1,692.324,-435.5415
15,4129,M,1,97.424,900,1,0,2,2,1,3,1,692.324,-435.5415
15,4129,M,1,66.32,69.296,1,1,3,3,1,6,1,692.324,-435.5415
15,4129,M,1,900,900,0,0,4,4,1,5,1,692.324,-435.5415
15,4129,M,1,0,61.17,1,1,1,7,1,3,2,256.7825,-435.5415
15,4129,M,1,7.21,65.96,1,1,2,8,1,1,2,256.7825,-435.5415
15,4129,M,1,874.65,900,1,0,3,9,1,2,2,256.7825,-435.5415
15,4129,M,1,0,0,1,1,4,10,1,5,2,256.7825,-435.5415
15,4130,F,1,1.711,900,1,0,1,1,1,1,1,736.6625,-228.5025
15,4130,F,1,244.47,246.65,1,1,2,2,1,2,1,736.6625,-228.5025
15,4130,F,1,900,900,0,0,3,3,1,6,1,736.6625,-228.5025
15,4130,F,1,197.369,900,1,0,4,4,1,3,1,736.6625,-228.5025
15,4130,F,1,0,211.74,1,1,1,7,1,3,2,508.16,-228.5025
15,4130,F,1,14.3,900,1,0,2,8,1,1,2,508.16,-228.5025
15,4130,F,1,790.22,900,1,0,3,9,1,5,2,508.16,-228.5025
15,4130,F,1,12.37,20.9,1,1,4,10,1,6,2,508.16,-228.5025
15,4131,F,1,482.368,900,1,0,1,1,1,5,1,401.692,83.948
15,4131,F,1,175.73,420.128,1,1,2,2,1,1,1,401.692,83.948
15,4131,F,1,91.13,143.286,1,1,3,3,1,4,1,401.692,83.948
15,4131,F,1,42.034,143.354,1,1,4,4,1,6,1,401.692,83.948
15,4131,F,1,69.64,71.28,1,1,2,8,1,2,2,485.64,83.948
15,4131,F,1,900,900,0,0,3,9,1,1,2,485.64,83.948
15,4132,M,1,214.245,900,1,0,1,1,1,5,1,766.83875,-163.3420833
15,4132,M,1,108.75,469.36,1,1,2,2,1,4,1,766.83875,-163.3420833
15,4132,M,1,157.184,806.919,1,1,3,3,1,6,1,766.83875,-163.3420833
15,4132,M,1,64.41,891.076,1,1,4,4,1,2,1,766.83875,-163.3420833
15,4132,M,1,0,900,1,0,1,7,1,2,2,603.4966667,-163.3420833
15,4132,M,1,900,900,0,0,2,8,1,1,2,603.4966667,-163.3420833
15,4132,M,1,7.53,10.49,1,1,4,10,1,4,2,603.4966667,-163.3420833
15,4133,M,1,28.014,900,1,0,2,2,1,1,1,900,-658.26
15,4133,M,1,37.61,145.08,1,1,1,7,1,4,2,241.74,-658.26
15,4133,M,1,18.74,38.13,1,1,2,8,1,6,2,241.74,-658.26
15,4133,M,1,534.2,542.01,1,1,4,10,1,3,2,241.74,-658.26
16,4059,M,0,13.33,791.061,1,1,1,1,1,6,1,205.858,246.6645
16,4059,M,0,2.799,6.854,1,1,2,2,1,2,1,205.858,246.6645
16,4059,M,0,5.609,25.517,1,1,3,3,1,5,1,205.858,246.6645
16,4059,M,0,0,0,1,1,4,4,1,1,1,205.858,246.6645
16,4059,M,0,29.52,900,1,0,1,7,1,2,2,452.5225,246.6645
16,4059,M,0,3.46,3.68,1,1,2,8,1,5,2,452.5225,246.6645
16,4059,M,0,900,900,0,0,3,9,1,1,2,452.5225,246.6645
16,4059,M,0,5.01,6.41,1,1,4,10,1,6,2,452.5225,246.6645
16,4060,M,0,108.125,900,1,0,1,1,1,2,1,248.1365,-148.8515
16,4060,M,0,10.065,34.304,1,1,2,2,1,6,1,248.1365,-148.8515
16,4060,M,0,50.63,52.545,1,1,3,3,1,3,1,248.1365,-148.8515
16,4060,M,0,0.755,5.697,1,1,4,4,1,5,1,248.1365,-148.8515
16,4060,M,0,0,0.08,1,1,1,7,1,6,2,99.285,-148.8515
16,4060,M,0,6.9,8.64,1,1,2,8,1,2,2,99.285,-148.8515
16,4060,M,0,244.27,388.42,1,1,3,9,1,1,2,99.285,-148.8515
16,4060,M,0,0,0,1,1,4,10,1,5,2,99.285,-148.8515
16,4061,F,0,107.78,654.495,1,1,1,1,1,6,1,191.8415,-170.7965
16,4061,F,0,8.201,24.025,1,1,2,2,1,3,1,191.8415,-170.7965
16,4061,F,0,81.234,88.846,1,1,3,3,1,2,1,191.8415,-170.7965
16,4061,F,0,0,0,1,1,4,4,1,5,1,191.8415,-170.7965
16,4061,F,0,36.74,39.37,1,1,1,7,1,2,2,21.045,-170.7965
16,4061,F,0,5.21,9.24,1,1,2,8,1,5,2,21.045,-170.7965
16,4061,F,0,4.6,6.15,1,1,3,9,1,6,2,21.045,-170.7965
16,4061,F,0,22.51,29.42,1,1,4,10,1,3,2,21.045,-170.7965
17,4086,M,1,900,900,0,0,1,1,1,4,1,509.0785,272.0931667
17,4086,M,1,54.255,900,1,0,2,2,1,6,1,509.0785,272.0931667
17,4086,M,1,26.494,30.88,1,1,3,3,1,5,1,509.0785,272.0931667
17,4086,M,1,71.234,205.434,1,1,4,4,1,2,1,509.0785,272.0931667
17,4086,M,1,53.974,900,1,0,1,7,1,4,2,781.1716667,272.0931667
17,4086,M,1,69.65,543.515,1,1,2,8,1,2,2,781.1716667,272.0931667
17,4086,M,1,900,900,0,0,3,9,1,1,2,781.1716667,272.0931667
17,4087,M,1,151.286,900,1,0,1,1,1,4,1,761.8063333,-477.6383333
17,4087,M,1,27.06,750.374,1,1,2,2,1,3,1,761.8063333,-477.6383333
17,4087,M,1,633.475,635.045,1,1,4,4,1,2,1,761.8063333,-477.6383333
17,4087,M,1,26.954,181.088,1,1,1,7,1,2,2,284.168,-477.6383333
17,4087,M,1,0,55.584,1,1,2,8,1,3,2,284.168,-477.6383333
